Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 10, nFeatures = 150

feature |          frame
        |                     0                     1                     2                     3                     4                     5                     6                     7                     8                     9
--------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     52 | ( 150.0, 123.0)=20358 ( 147.8, 123.1)=    0 ( 148.0, 123.0)=    0 ( 143.4, 123.3)=    0 ( 141.3, 123.3)=    0 ( 139.1, 123.5)=    0 ( 136.9, 123.6)=    0 ( 134.9, 123.7)=    0 ( 132.8, 123.9)=    0 ( 130.6, 124.1)=    0 
     53 | ( 148.0, 150.0)=19983 ( 144.3, 150.2)=    0 ( 144.0, 150.0)=    0 ( 136.9, 150.6)=    0 ( 133.2, 150.7)=    0 ( 129.6, 150.9)=    0 ( 125.9, 151.0)=    0 ( 122.3, 151.2)=    0 ( 118.6, 151.4)=    0 ( 115.2, 151.7)=    0 
     54 | ( 277.0, 208.0)=19110 ( 271.9, 208.0)=    0 ( 272.0, 208.0)=    0 ( 261.9, 207.7)=    0 ( 256.8, 207.5)=    0 ( 251.8, 207.4)=    0 ( 246.7, 207.2)=    0 ( 241.7, 207.1)=    0 ( 236.6, 207.1)=    0 ( 231.5, 207.0)=    0 
     55 | (  94.0, 149.0)=18880 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 
     56 | ( 289.0, 209.0)=18830 ( 284.0, 209.0)=    0 ( 284.0, 209.0)=    0 ( 273.9, 208.9)=    0 ( 268.8, 208.8)=    0 ( 263.8, 208.7)=    0 ( 258.7, 208.5)=    0 ( 253.6, 208.3)=    0 ( 248.6, 208.3)=    0 ( 243.5, 208.2)=    0 
     57 | ( 137.0, 135.0)=18385 ( 134.3, 135.1)=    0 ( 134.0, 135.0)=    0 ( 128.7, 135.4)=    0 ( 126.0, 135.6)=    0 ( 123.3, 135.7)=    0 ( 120.6, 135.9)=    0 ( 118.0, 136.1)=    0 ( 115.3, 136.3)=    0 ( 112.6, 136.5)=    0 
     58 | (  80.0, 176.0)=18175 (  75.3, 176.2)=    0 (  75.0, 176.0)=    0 (  66.0, 176.4)=    0 (  61.5, 176.5)=    0 (  56.9, 176.6)=    0 (  52.4, 176.8)=    0 (  47.9, 176.9)=    0 (  43.5, 177.0)=    0 (  39.1, 177.1)=    0 
     59 | ( 139.0, 179.0)=18151 ( 135.2, 179.0)=    0 ( 135.0, 179.0)=    0 ( 127.8, 178.9)=    0 ( 124.1, 178.8)=    0 ( 120.4, 178.8)=    0 ( 116.8, 178.8)=    0 ( 113.1, 178.7)=    0 ( 109.5, 178.6)=    0 ( 105.8, 178.5)=    0 
     60 | ( 287.0, 118.0)=18049 ( 283.2, 117.9)=    0 ( 283.0, 118.0)=    0 ( 275.4, 117.9)=    0 ( 271.5, 117.9)=    0 ( 267.5, 117.9)=    0 ( 263.6, 118.0)=    0 ( 259.8, 118.0)=    0 ( 255.8, 118.1)=    0 ( 251.8, 118.2)=    0 
     61 | ( 274.0,  70.0)=17393 ( 271.8,  70.0)=    0 ( 272.0,  70.0)=    0 ( 267.5,  69.8)=    0 ( 265.5,  69.7)=    0 ( 263.4,  69.7)=    0 ( 261.3,  69.6)=    0 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 
